,Branch_ID,Branch_Name,Zone_Code,City_Code,Address_1,Address_2,Province_Name,Province_Number,Sub_Provincial_Code
150,20,REMITTANCE,BAGMA,KTM,NABIL HOUSE,KAMALADI,Bagmati Province,Province 3,Bagmati 2
151,01,BUSINESS BANK,KTM,KTM,NABIL CENTRE,KANTIPATH,Bagmati Province,Province 3,Bagmati 5
152,50,BALKUMARI,BAGMA,KTM,GWARKO,KATHMANDU,Bagmati Province,Province 3,Bagmati 2
153,55,SUNWAL,NAW,NAW,SUNWAL,NAWALPARASI,Lumbini Province,Province 5,Lumbini 3
154,52,JANAKPUR PIDARICHOWK,DNU,JAN,JANAKPUR PIDARICHOWK,,Koshi Province,Province 1,Koshi 1
155,E8,TANSEN,BAGMA,,TANSEN,,Bagmati Province,Province 3,Bagmati 2
156,F9,JHUMKA,KOSHI,SUN,JHUMKA,,Koshi Province,Province 1,Koshi 2
157,F4,THALI,BAGMA,KTM,THALI,KATHMANDU,Bagmati Province,Province 3,Bagmati 2
158,28,BORADANDI,KAI,KAI,BORADANDI,BORADANDI,Sudurpaschim Province,Province 7,Sudurpaschim 3
159,G2,BHANDARA,BAGMA,CHI,BHANDARA,,Bagmati Province,Province 3,Bagmati 2
160,34,KAUSHALTAR,BAGMA,BHA,KAUSALTAR BRANCH,BHAKTAPUR,Bagmati Province,Province 3,Bagmati 2
161,48,ANAMNAGAR,BAGMA,KTM,ANAMNAGAR,KATHMANDU,Bagmati Province,Province 3,Bagmati 2
162,G8,NPA HEAD OFFICE,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
163,H1,BATTAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
164,H2,PHARPING,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
165,H0,LUBHU,BAGMA,KTM,MAHALAXMI Â MUNICIPALITY-08,LUBHU,Bagmati Province,Province 3,Bagmati 2
166,H7,BIRGUNJ BYPASS,PAR,PAR,BIRGUNJ BYPASS,NOT AVAILABLE,Madhesh Province,Province 2,Madhesh 3
167,G9,GHANTAGHAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
168,I0,BAHRABISE,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
169,H8,NEPALGUNJ (DHAMBOJHI CHOWK),BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
170,H9,BIRATNAGAR-RANGELI ROAD,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
171,H3,BIJULI BAZAAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
172,H4,JANAKPUR-BHANUCHOWK,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
173,H5,KALIMATI,BAGMA,KTM,KALIMATI 2,,Bagmati Province,Province 3,Bagmati 2
174,H6,SUKKHANAGAR,LUMBI,BUT,SUKKHANAGAR,NOT AVAILABLE,Lumbini Province,Province 5,Lumbini 2
175,100,DATA CENTER USE,BAGMA,KTM,KATHMANDU,,Bagmati Province,Province 3,Bagmati 2
176,E7,GUSINGAL,BAGMA,,GUSINGAL,,Bagmati Province,Province 3,Bagmati 2
177,G4,MACHCHHEGAUN,BAGMA,KTM,MACHCHHEGAUN,,Bagmati Province,Province 3,Bagmati 2
178,P2,GARUDA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
179,D7,NARAYANGADH MILANROAD,BAGMA,CHI,NARAYANGHAT MILANROAD,,Bagmati Province,Province 3,Bagmati 2
180,G7,MANGAL BAZAR,BAGMA,LPR,MANGAL BAZAR,LALITPUR,Bagmati Province,Province 3,Bagmati 2
181,F7,KHAIRENI,LUMBI,RUP,KHAIRENI,,Lumbini Province,Province 5,Lumbini 2
182,G0,KAKARVITTA,MECHI,KAKAR,KAKARVITTA,,Koshi Province,Province 1,Koshi 4
183,F8,MAHENDRANAGAR DHANUSA,DNU,MGR,MAHENDRANAGAR DHANUSA,,Koshi Province,Province 1,Koshi 1
184,O6,RAJBIRAJ,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
185,J5,SANKRANTI BAZAAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
186,L9,PARWANIPUR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
187,K7,LEKHNATH,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
188,M9,DEWAHI GONAHI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
189,N7,MALANGAWA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
190,N2,PHEDAP,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
191,J6,NARAYANPUR,PROV5,DAN,NARAYANPUR,NARAYANPUR,Lumbini Province,Province 5,Lumbini 4
192,K9,SINDHUWA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
193,O8,CALCATTA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
194,K0,MUSIKOT,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
195,N0,SANDHIKHARKA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
196,M3,DHANAUJI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
197,J3,BALKHU,BAGMA,KTM,BALKHU,BALKHU,Bagmati Province,Province 3,Bagmati 2
198,N4,KALIMATI-RAMPUR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
199,M6,KOTESHWAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
200,K4,KHAJURAH,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
201,O9,NBB HEAD OFFICE,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
202,O5,MANDIKHATAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
203,G1,SURUNGA,MECHI,JHA,SURUNGA,,Koshi Province,Province 1,Koshi 4
204,J9,JHALARI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
205,M5,RAJARANI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
206,L8,KAUDENA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
207,L6,SALPASILICHO,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
208,L5,BHUMLU,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
209,O3,KHOKANA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
210,M8,CHANDRANAGAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
211,L4,CHHATRAGUNJ,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
212,J7,PRAYAG POKHARI,BAGMA,KTM,PRAYAG POKHARI,PRAYAG POKHARI,Bagmati Province,Province 3,Bagmati 2
213,N5,NAREPHAT,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
214,L1,SANGURIGADHI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
215,K1,PHIDIM,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
216,K6,MITRAPARK,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
217,O0,CHYAMASING,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
218,N8,SANEPA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
219,K8,BELBARI,KOSHI,11205,BELBARI MUNICIPALITY,BELBARI MUNICIPALITYÂ  WARD NO. 1,Koshi Province,Province 1,Koshi 2
220,L0,SINJA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
221,J2,SALYAN,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
222,N6,TIMURE,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
223,O2,TILGANGA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
224,F2,JHARANKHU,BAGMA,KTM,JHARANKHU,,Bagmati Province,Province 3,Bagmati 2
225,M4,ARNAMA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
226,L7,BRAMHAPURI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
227,N1,CHANDEV,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
228,O7,SIRUTAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
229,K2,CHAINPUR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
230,K3,KUSHMA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
231,O1,TATOPANI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
232,K5,LAZIMPAT,BAGMA,KTM,LAZIMPAT,,Bagmati Province,Province 3,Bagmati 2
233,J4,DARCHULA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
234,M1,MAKWANPURGADHI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
235,M0,HAPURE,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
236,L3,PANCHKHAPAN,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
237,M2,BISHNU,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
238,N9,TOKHA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
239,J8,KARSIYA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
240,J1,BOUDDHA RAMHITI,BAGMA,KTM,BOUDDHA RAMHITI,BOUDDHA RAMHITI,Bagmati Province,Province 3,Bagmati 2
241,L2,CHHATHAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
242,M7,PHIKKAL,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
243,N3,BULINGTAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
244,P1,GAUSHALA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
245,R1,NAMCHE BAZAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
246,F1,GONGABU JALAPA,BAGMA,KTM,GONGABU JALAPA,BANIYATAR,Bagmati Province,Province 3,Bagmati 2
247,O4,THIMI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
248,G5,DALLU,BAGMA,KTM,DALLU,,Bagmati Province,Province 3,Bagmati 2
249,P0,DIKTEL,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
250,F0,SANKHAMUL,BAGMA,KTM,SANKHAMUL,,Bagmati Province,Province 3,Bagmati 2
251,F6,DHALKEBAR,JANAK,DNU,DHALKEBAR,DHANUSHA,Madhesh Province,Province 2,Madhesh 1
252,Q4,DHADING BESI,BAGMA,KTM,DHADING BESI,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
253,P4,AANBU KHAIRENI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
254,Q1,TAMGHAS,LUMBI,GUL,RESUNGA MUNICIPALITY-8,TAMGHAS,Lumbini Province,Province 5,Lumbini 2
255,Q7,CHANDANNATH,KARNA,JUM,NOT AVAILABLE,NOT AVAILABLE,Karnali Province,Province 6,Karnali 2
256,P7,LUMBINI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
257,Q2,LALBANDI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
258,Q0,GULARIYA,LUMBI,BYA,BARDIYA,NOT AVAILABLE,Lumbini Province,Province 5,Lumbini 2
259,Q3,GALKOT,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
260,P3,BARAHATHAWA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
261,P9,RAMGRAM,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
262,Q9,KANCHANPUR,BAGMA,SAP,KANCHANPUR,KANCHANPUR,Bagmati Province,Province 3,Bagmati 2
263,Q8,AMARGADHI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
264,P5,PHARSATIKAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
265,P8,KALAIYA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
266,Q5,TAULIHAWA,BAGMA,KTM,TAULIHAWA,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
267,P6,BANGANGA,KTU,KTU,NOT AVAILABLE,NOT AVAILABLE,Koshi Province,Province 1,Koshi 3
268,Q6,JALESHWOR,PROV2,JAL,"MAHOTTARI DISTRICT, JALESHWOR MUNICIPALITY, W","MAHOTTARI DISTRICT, JALESHWOR MUNICIPALITY, W",Madhesh Province,Province 2,Madhesh 4
269,G6,SANKHU,BAGMA,KTM,SANKHU,,Bagmati Province,Province 3,Bagmati 2
270,I5,SALLAGHARI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
271,I4,DHARAN-BARGACHHI,PROV1,SUN,DHARAN SUB-METROPOLITAN CITY-08,BARGACHHI,Koshi Province,Province 1,Koshi 6
272,I2,CHIPLEDHUNGA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
273,I6,BANASTHALI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
274,I1,DHANGADHI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
275,I7,DHUNCHE,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
276,J0,NAYA BAZAAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
277,I3,KUMARIPATI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
278,I8,BHOJPUR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
279,I9,BIRTAMOD-BNC,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
280,S4,KOSHI RECOVERY,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
281,S5,MADESH RECOVERY,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
282,S6,MANAKAMANA RECOVERY,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
283,S7,LUMBINI RECOVERY,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
284,E4,MULPANI,BAGMA,KTM,MULPANI,,Bagmati Province,Province 3,Bagmati 2
285,E6,NIJGADH,BAGMA,,NIJGADH,,Bagmati Province,Province 3,Bagmati 2
286,R0,ARCHALBOT,GANDA,KASKI,ARCHALBOT,,Gandaki Province,Province 4,Gandaki 1
287,G3,DAHACHOWK,BAGMA,KTM,DAHACHOWK,,Bagmati Province,Province 3,Bagmati 2
